,Title,Company,Job Description,Seniority Level,Employment Type,Industry,Job Function,Link
27,"Specialist, Training & Client Relations",SHRM,"At SHRM, we are committed to making work, workers and workplaces better through insights-driven policy solutions, learning and development, thought leadership and research. We are shaping the ways employers and employees thrive together. SHRM is empowering our more than 300,000+ members, including HR professionals, business executives, and people managers, to lead as strategic business partners and effective stewards of workplace culture, business productivity, and employee engagement.

The Training and Client Relations Specialist will support the Global Sales team within the Global Business Development Department. The Specialist supports the growth in sales of SHRM’s enterprise products and services to existing and new corporations, government agencies, and association clients. The Specialist also promotes the bundling of SHRM products and services with clients to help support the organization’s enterprise sales channel and business to business goals.













Our employment practices are in accordance with the laws that prohibit discrimination against qualified individuals on the basis of race, religion, color, gender, age, national origin, physical or mental disability, genetic information, veteran’s status, marital status, gender identity and expression, sexual orientation, or any other status protected by applicable law.

SHRM is an equal opportunity employer (Minority/Female/Disabled/Veteran).

We do not sponsor applicants for work visas.",Associate,Full-time,Human Resources,Business Development,https://www.linkedin.com/jobs/view/specialist-training-client-relations-at-shrm-2258512930?refId=6dbd88c8-a1c4-48f6-b16e-75696cfb506c&position=8&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click
28,Social Work Case Manager,Kaiser Permanente,"Description

For members of a defined population, responsible for collaborating with the members of the health care team to facilitate the coordination of appropriate, cost-effective services that are consistent with member's plan of care, help achieve his/her optimal level of independence, and enhance quality of life.",Associate,Full-time,Financial Services,Other,https://www.linkedin.com/jobs/view/social-work-case-manager-at-kaiser-permanente-2257153592?refId=6dbd88c8-a1c4-48f6-b16e-75696cfb506c&position=9&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click
29,"Senior Associate, Corporate Communications",KPMG US,"Requisition Number: 50968 - 20

Description

Known for being a great place to work and build a career, KPMG provides audit, tax and advisory services for organizations in today’s most important industries. Our growth is driven by delivering real results for our clients. It’s also enabled by our culture, which encourages individual development, embraces an inclusive environment, rewards innovative excellence and supports our communities. With qualities like those, it’s no wonder we’re consistently ranked among the best companies to work for by Fortune Magazine, Consulting Magazine, Working Mother Magazine, Diversity Inc. and others. If you’re as passionate about your future as we are, join our team.

KPMG is currently seeking a Senior Associate, Corporate Communications to join our Communications organization.






KPMG LLP (the U.S. member firm of KPMG International) offers a comprehensive compensation and benefits package. KPMG is an affirmative action-equal opportunity employer. KPMG complies with all applicable federal, state and local laws regarding recruitment and hiring. All qualified applicants are considered for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, protected veteran status, or any other category protected by applicable federal, state or local laws. The attached link contains further information regarding the firm's compliance with federal, state and local recruitment and hiring laws. No phone calls or agencies please.",Mid-Senior level,Full-time,Management Consulting,Marketing,https://www.linkedin.com/jobs/view/senior-associate-corporate-communications-at-kpmg-us-2227317769?refId=6dbd88c8-a1c4-48f6-b16e-75696cfb506c&position=10&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click
30,Property Administrator,Cushman & Wakefield,"Job Title
Property Administrator

Job Description Summary

Performs the administrative functions of the Property Management Team assuring a high level of professionalism in property issues, including timely response to and resolution of any tenant requests or concerns.














This job operates in a professional office environment. This role routinely uses standard office equipment such as computers, phones, photocopiers, filing cabinets and fax machines. Regularly required to travel outside between properties in varying weather conditions.


The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. While performing the duties of this job, the employee may need to travel from floor to floor, climb stairs, and may be required to travel outside between buildings in varying outdoor weather conditions. The employee may also be regularly required to remain in a stationary position (sit or stand) for 85% of the time; regularly use hands to operate office machinery and regularly required to walk, talk, and hear.



This job description is not designed to cover or contain a comprehensive list of activities, duties or responsibilities that are required of the employee. Other duties, responsibilities and activities may change or be assigned at any time with or without notice.

Cushman & Wakefield provides equal employment opportunity. Discrimination of any type will not be tolerated. Cushman & Wakefield is an Equal Opportunity / Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability, protected veteran status or any other characteristic protected by state, federal, or local law.",Entry level,Full-time,Human Resources,Sales,https://www.linkedin.com/jobs/view/property-administrator-at-cushman-wakefield-2255641051?refId=6dbd88c8-a1c4-48f6-b16e-75696cfb506c&position=11&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click
31,Program Coordinator (Agricultural Youth Organization Coordinator),Department of Agriculture,"Overview
Open & closing dates

Opening and closing dates10/26/2020 to 11/06/2020
Service

Competitive









Duties



This position is located in the USDA, Office of Partnerships & Public Engagement (OPPE) and will serve as Outreach Coordinator for USDA-wide youth programs and, as such, has the working title of Agricultural Youth Organization Coordinator.




Travel Required

25% or less - You may be expected to travel for this position.

Supervisory status

No

Promotion Potential

None



Conditions of Employment




Applicants must meet all qualifications and eligibility requirements by the closing date of the announcement including time-in-grade restrictions and specialized experience, as defined below.



Current federal employees applying for a promotion opportunity must meet time-in-grade (TIG) requirement of 52 weeks of service at the next lower grade level in the normal line of progression for the position being filled.



GS-13: One year of specialized experience, equivalent to the GS-12 level in the Federal service or equivalent responsibility in the private sector/pay systems that has equipped the candidate with the particular competencies to successfully perform as a Program Coordinator (Agricultural Youth Organization Coordinator).For this position, the specialized experience is experience assisting youth involved in food and agriculture organizations in applying for participation in agriculture; assisting with the development of internship opportunities for young people ranchers; evaluating and reporting on the effectiveness of an Agencies youth focused activities; serving as a liaison between youth and new and beginning farmers and an Agency in order to provide information about the availability of and eligibility requirements for participation in agricultural programs; preparing correspondence, studies and reports regarding an Agency's initiatives that target young people ranchers.
Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.

Education

There is no educational requirement for this position.

Additional information


How You Will Be Evaluated

You will be evaluated for this job based on how well you meet the qualifications above.


Your application, including the online Assessment Questionnaire, will be reviewed to determine if you meet (a) minimum qualification requirements and (b) the resume supports the answers provided to the job-specific questions. Your resume must clearly support your responses to all the questions addressing experience and education relevant to this position. Applicants who meet the minimum qualification requirements and are determined to be among the best qualified candidates will be referred to the hiring manager for consideration. Noncompetitive candidates and applicants under some special hiring authorities need only meet minimum qualifications to be referred.
Note: If after reviewing your resume and/or supporting documentation, a determination is made that you have inflated your qualifications and or experience, your score may be adjusted to more accurately reflect your abilities, or you may be found ineligible. Please follow all instructions carefully. Errors or omissions may affect your rating. Providing inaccurate information on Federal documents could be grounds for non-selection or disciplinary action up to including removal from the Federal service. Clicking the link below will present a preview of the application form; i.e. the online questionnaire. The application form link below will only provide a preview and does not initiate the application process. To initiate the online application process, click the ""Apply"" button to the right. To view the application form, visit:

Background checks and security clearance

Security clearance

Not Required

Drug test required

No

Position sensitivity and risk

Noncritical-Sensitive (NCS)/Moderate Risk

Trust determination process

Credentialing , Suitability/Fitness

This job is open to
















Clarification from the agency

Current permanent federal employees with competitive status, Land Management Workforce Flexibility Act, CTAP/RPL and VEOA eligibles, Farm Service Agency permanent county employees, 30 percent or More Disabled Veterans, Certain Former Overseas and Foreign Service Employees, Military Spouses, Interchange Agreement and Other Miscellaneous Authorities, People with Disabilities, Peace Corps and VISTA, Reinstatement.",Entry level,Internship,Nonprofit Organization Management,Other,https://www.linkedin.com/jobs/view/program-coordinator-agricultural-youth-organization-coordinator-at-department-of-agriculture-2256745502?refId=6dbd88c8-a1c4-48f6-b16e-75696cfb506c&position=12&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click
32,Project Coordinator,Fedsight Consulting,"Fedsight is hiring a Project Coordinator with three years direct IT project management experience. This position will be working with the US Coast Guard clients to ensure enterprise IT projects are delivered on time and within budget. Active Top Secret Clearance is required.
 ",Entry level,Full-time,Management Consulting,Quality Assurance,https://www.linkedin.com/jobs/view/project-coordinator-at-fedsight-consulting-2227329617?refId=6dbd88c8-a1c4-48f6-b16e-75696cfb506c&position=13&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click
33,Content Coordinator,ICF,"We’re looking for a Content Coordinator to join our team at ICF.

You’re a high-energy, creative, strategic thinker who is passionate about digital technology. And you’re ready to tackle some of society’s greatest challenges. Do you want the opportunity to work on meaningful federal IT projects? If so, you’re going to love this job.

Our innovative digital solutions team is seeking a content coordinator to provide a range of communications support. This position requires strong communication skills, a high degree of professionalism, independent judgment, organizational skills, the ability to multitask, superb Microsoft Suite application skills, and flexibility as demands and priorities change.

This is an exciting role offering excellent opportunities for career growth and the chance to work in a dynamic and collaborative organization. There are currently options for telework, and this position will be based in either our Rockville, MD or Fairfax, VA office.














Working at ICF means applying a passion for meaningful work with intellectual rigor to help solve the leading issues of our day. Smart, compassionate, innovative, committed, ICF employees tackle unprecedented challenges to benefit people, businesses, and governments around the globe. We believe in collaboration, mutual respect, open communication, and opportunity for growth. If you’re seeking to make a difference in the world, visit www.icf.com/careers to find your next career. ICF—together for tomorrow.

ICF is an equal opportunity employer that values diversity at all levels. (EOE – Minorities/Females/ Protected Veterans Status/Disability Status/Sexual Orientation/Gender Identity). For more information, please read our



Fairfax, VA (VA01)",Entry level,Full-time,Management Consulting,Marketing,https://www.linkedin.com/jobs/view/content-coordinator-at-icf-2224751561?refId=6dbd88c8-a1c4-48f6-b16e-75696cfb506c&position=14&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click
34,Spring 2021 Internship,DC Arts and Humanities Education Collaborative,"The DC Collaborative believes that the arts and humanities are central to the education of every student. A community-based partnership organization, now more than 120 members strong, the DC Collaborative works to promote quality arts and humanities education for all DC public and public charter schools. Working with our members, the DC Collaborative produces such exemplary programs as Arts and Humanities for Every Student, Professional Development and Collective Impact initiatives.Interns are involved in providing support to DC Collaborative staff, as pertaining to our programmatic, communications, membership and collective impact initiatives, and developmental needs, as well as working to support the daily activities necessary to manage a small non-profit. Internships can be specialized in the following areas or any combination thereof:School Partnership CommunicationsProcess and document School Partnership Agreements and orientation materials to assist in program implementation of the Arts and Humanities for Every Student (AHFES) programCoordinate with teacher contacts to ensure timely/ accurate reminders, updates, and communications regarding field-trips/ professional development workshopsUpdate Content in the School Partnership NewsletterAssist with school outreach by developing content for our Story Bank Blog and our other social media platformsOther duties as assignedEducation ProgrammingAssist with online registration and database maintenance for the AHFES programDesign, edit and proof online AHFES Catalogue pages for each participant in the AHFES programProcess and document Memorandum of Understanding and other materials to prepare for program implementationCoordinate with organization contacts to ensure timely/ accurate reminders, updates, and communications regarding field-trips/ professional development workshopsCompile and analyze program and survey reports; Synthesize information to complete statistical briefings for DC Collaborative programsWork with stakeholders to schedule professional development for members.Other duties as assignedMembership and Collective Impact InitiativesAssist with database management including management of listservs, community calendar and job bankAssist with preparation for the FY21 Membership renewal campaign- Including drafting marketing collateral, database preparation and new member prospectingUpdate content in the monthly membership newsletterAssist in developing materials and organizing logistics for membership convenings including: our quarterly Members Meeting, Any Given Child DC convenings, topic sessions and other workshops/ networking eventsAssist with data collection, analysis and database maintenance for our Collective Impact Initiative, Any Given Child DCOther duties as assignedEssential QualificationsExcellent interpersonal, organizational and administrative skillsAttention to detailAbility to work on multiple and concurrent projectsExperience with Microsoft Office Suite, G-suite and Adobe Creative SuitePreferred QualificationsPrior internship experience in a non-profit settingPrior experience with DC Public and Public Charter SchoolsWorking knowledge of HTML or website applications",Internship,Full-time,Nonprofit Organization Management,Education,https://www.linkedin.com/jobs/view/spring-2021-internship-at-dc-arts-and-humanities-education-collaborative-2255483700?refId=6dbd88c8-a1c4-48f6-b16e-75696cfb506c&position=15&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click
35,Business Operations Analyst,Nasdaq,"We have an exciting opportunity for an entry level position to start or extend a career at Nasdaq. Join a team that gives you opportunity to excel and overcome obstacles on a daily basis. The Data Product Business Operations Analyst is a member of the GIS Data Product Support Services team whose focus is supporting Nasdaq‘s Global Information Services (GIS) proprietary data products and services. You will work closely with the GIS Sales, Product Management and Operations teams while liaising with Global Technology and Global Trading Services teams to provide first line customer support of all US market data products (including Nasdaq Basic, Nasdaq Last Sale, QBBO, Totalview, and GIDS). You will work daily with a great team growing on a daily basis.



The successful candidate will have many of the following skills:",Associate,Full-time,Information Technology and Services,Business Development,https://www.linkedin.com/jobs/view/business-operations-analyst-at-nasdaq-2255815145?refId=6dbd88c8-a1c4-48f6-b16e-75696cfb506c&position=16&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click
36,The Fund for Peace - Internship Spring,The Fund for Peace,"Do you have an interest in conflict early warning, peace building, security, and human rights? Are you a current graduate or undergraduate student (or a recent graduate) seeking experience in the NGO sector?We offer internships in our Washington, DC headquarters every semester. Interns at FFP are given significant responsibility and are provided with practical experience in the international relations field, with excellent work experience and exposure to international and NGO communities.Internships vary in duration and are flexible to fit in with study. Interns are given significant responsibility to manage their own projects and conduct their own research. An internship with FFP will provide interns with practical work experience in the international relations field and exposure to diverse national and international audiences including government, multilateral, business, think tank, and NGO communities.What kind of responsibilities do Interns have?Intern responsibilities can include:Conflict analysisConflict data codingResearching and writing articles and reportsAssisting with editing and proofreadingMonitoring and updating essential country-specific dataProviding support to The Fund for Peaces public eventsAttending conferences and roundtables on behalf of The Fund for PeaceDoes The Fund for Peace accept international candidates?Yes. Of course, international staff must have authorization to work (or at least intern) in the US If a visa is required, The Fund for Peace is more than happy to assist you with the paperwork. Obtaining the proper visa may incur significant cost. However, many previous international interns who have had to pay for their visas believe it was money well-spent. Unfortunately, The Fund for Peace is not able to cover the costs of visas or the visa application process.Past and present interns have come from countries as diverse as Afghanistan, Australia, Belgium, Brazil, Cameroon, Canada, Colombia, Croatia, DR Congo, France, Georgia, Germany, Ghana, Ireland, Kyrgyzstan, Mexico, Mozambique, the Netherlands, New Zealand, Nigeria, Norway, Pakistan, Panama, Portugal, Russia, South Africa, Sweden, Switzerland, Turkey, Trinidad & Tobago, and the United Kingdom.Can interning with The Fund for Peace lead to a permanent position?Though FFP is a small organization, a number of former interns have indeed gone on to become permanent staffers. That said, such a transition is far from guaranteed! Nevertheless, the Fund for Peace internship does provide unparalleled exposure to the NGO, think-tank and government communities in the US and abroad.Does The Fund for Peace accept only full-time interns?No. FFP is able to accommodate both full-time and part-time interns (depending on semester). During the fall and spring term, interns at FFP are asked to work approximately 20 hours per week. During the summer term, interns work 30 hours per week at minimum. Normal hours are 9:30 am to 5:00 pm, although we can be flexible about scheduling where necessary.Also, the FFP internship program is specifically flexible in regards to class schedules. Plenty of interns will combine a part-time internship with a normal class schedule.What qualities are we seeking in our interns?Though academic and professional qualifications are obviously important, we also prefer our interns to be well-rounded and personable.Experience with or understanding of the Fund for Peaces programmatic areasExcellent written and oral communication skillsSolid organizational abilitiesIndividual initiative and flexibilityStrong research and data skillsAbility to work independently as well as part of a teamWhat is the average duration of an internship?The length of an internship varies. We prefer interns to work with us for at least 3-4 months. Some interns have actually worked with us for 6 months or more.Is the internship paid or unpaid?FFP offers a stipend to cover commuting expenses. Based on a full work week, pro rated for part-time interns, the stipend is as follows:Part-time - $350 per monthFull-time - $700 per monthDoes The Fund for Peace prefer graduate students to undergraduate?Yes. However, we do sometimes accept exceptional undergraduate students on a case-by-case basis. We also hire recent post-graduates.Can I earn college credit through an internship at The Fund for Peace?Yes. Depending of course on your college's requirements, interns frequently earn college credit at FFP through their college's internship programs. Importantly, however, where students are seeking an internship as part of an institutional ""Internship in DC"" type program, we strongly encourage students to apply through our normal channels and to address our specific application guidelines. ""Boiler-plate"" applications that are sent to multiple organizations are rarely competitive applications.*Note: There is a possibility that this internship will be remote, depending on the developing COVID-19 situation.",Internship,Full-time,Nonprofit Organization Management,Finance,https://www.linkedin.com/jobs/view/the-fund-for-peace-internship-spring-at-the-fund-for-peace-2255484492?refId=6dbd88c8-a1c4-48f6-b16e-75696cfb506c&position=17&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click
37,Program Analyst,SAIC,"Description

SAIC is seeking a MISS TO Program Analyst to support the Army National Guard and the broader military intelligence community on the Military Intelligence Services Support (MISS) Contract.

Note This role offers temporary work from home/ remote/ virtual work at home due to COVID-19. Eventually the work will go back on site in Rosslyn, VA.






Required Education and Experience",Associate,Full-time,Computer Hardware,Management,https://www.linkedin.com/jobs/view/program-analyst-at-saic-2222499854?refId=6dbd88c8-a1c4-48f6-b16e-75696cfb506c&position=18&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click
38,Health Care Analyst,NCQA,"NCQA is now hiring a Health Care Analyst! This position resides in the organization’s consulting group (it is a full time position). It provides operational and oversight support for contracts, which are initially specified as related to the implementation of national patient experience and functional status assessments using standardized patient experience survey instruments. This position may support other national and state contracts that implement and use health care quality information. It involves tasks in all phases of multiple projects including training, quality oversight, data collection, preparation and quality assurance of written deliverables and customer service.",Entry level,Full-time,Hospital & Health Care,Analyst,https://www.linkedin.com/jobs/view/health-care-analyst-at-ncqa-2226312759?refId=6dbd88c8-a1c4-48f6-b16e-75696cfb506c&position=19&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click
39,Campaign Associate with Zero Waste Team,U.S. PIRG,"U.S. PIRG Zero Waste Campaign Associate
 The Zero Waste team with U.S. PIRG is seeking a Campaign Associate to help lead our Beyond Plastics campaign.
 Nothing we use for a few minutes should threaten our health and pollute our future for hundreds of years.",Entry level,Full-time,Political Organization,Strategy/Planning,https://www.linkedin.com/jobs/view/campaign-associate-with-zero-waste-team-at-u-s-pirg-2019487517?refId=6dbd88c8-a1c4-48f6-b16e-75696cfb506c&position=20&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click
40,Public Relations Intern,Lancaster Consulting,"Lancaster Consulting, an innovative startup consulting firm, is looking for a motivated individual with interest in media and public relations to join our team for winter 2020. Lancaster Consulting innovates; utilizing a grassroots, bottom-up approach to connect leaders, small businesses, and community organizations through public relations strategies including event planning, networking, and effective messaging. This opportunity is a part-time internship position. A small stipend may be provided.",Internship,Part-time,Management Consulting,Education,https://www.linkedin.com/jobs/view/public-relations-intern-at-lancaster-consulting-2226325191?refId=6dbd88c8-a1c4-48f6-b16e-75696cfb506c&position=21&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click
41,Environmental Defense Campaign Associate,Environment America,"Environmental Defense Campaign Associate

The damage we're doing to the earth is both unsustainable and infuriating. Climate change is speeding up. Plastic pollution is piling up. There's even evidence that global deforestation is spreading diseases like COVID-19. But solutions to these problems are all around us, practically begging us to adopt them: solar and wind power, electric cars and buses, more walkable and “bikeable” cities, sustainable alternatives to harmful single-use plastics, more protections for wild places and wildlife, and on and on. Environment America’s mission — the thing that drives everything we do — is to transform our ideas and imaginations into change that makes our world a greener and healthier place. To help us achieve this mission, Environment America is seeking an to help drive our policy agenda. ",Entry level,Full-time,Nonprofit Organization Management,Research,https://www.linkedin.com/jobs/view/environmental-defense-campaign-associate-at-environment-america-2019505916?refId=6dbd88c8-a1c4-48f6-b16e-75696cfb506c&position=22&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click
42,Marketing Specialist,National Highway Traffic Safety Administration NHTSA,"This position is located in the Office of Consumer Information. You will be responsible for developing and executing consumer information campaigns addressing a variety of traffic safety programs to reduce injuries and fatalities resulting from motor vehicle-related crashes. The individual develops marketing campaigns and consumer information programs that focus on both behavioral and vehicle safety issues. This position will close on 11/27/20. The position will be filled at the GS 11 level, with promtion potential up to the GS 13 level.",Associate,Full-time,Government Administration,Marketing,https://www.linkedin.com/jobs/view/marketing-specialist-at-national-highway-traffic-safety-administration-nhtsa-2257708218?refId=6dbd88c8-a1c4-48f6-b16e-75696cfb506c&position=24&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click
43,Administrative Assistant,"Potomac Management Solutions, LLC","Potomac Management Solutions is pursuing an opportunity with the Department of Justice, Bureau of Alcohol, Tobacco, Firearms & Explosives (ATF) and are seeking qualified personnel to include in our proposal submission. If interested please submit your resume or if you do not find interest in this opportunity but know of someone who may, we kindly ask that you refer the individual to Potomac Management Solutions by forwarding this job posting!

ATF is seeking support services for the operational and technical support necessary for the Field Operations Directorate, to include future expansion and service to all sites on the Network. This includes the nationwide support for NIBIN across the functional areas: Correlation Center Support at the NIBIN National Correlation and Training Center (NNCTC), Training Center Support - NNCTC, Crime Gun Intelligence (CGI) Field Support, NIBIN Laboratory Support, Administrative Support (other than NNCTC), and Program Management.






If this sounds like an opportunity that interests you, apply online today!

If you do not find interest in this opportunity but know of someone who may, we kindly ask that you refer the individual to Potomac Management Solutions by forwarding this job posting.

Potomac Management Solutions, LLC (PMS) specializes in Human Resources/Staffing, Program Operations, Administration, Health Systems Management and Federal Law Enforcement Support. We understand the fundamental component of commercial services as well as state/federal contract management - transforming mission objectives into programs that efficiently support and deliver quality products & services.
In conformity with applicable laws, Potomac Management Solutions is an Equal Opportunity Employer and does not discriminate on the basis of race, color, creed, religion, sex, marital status, sexual orientation, national origin, citizenship status, physical or mental disability, or status as a disabled veteran, a Vietnam Era veteran, a veteran who has served on active duty for which a campaign badge was authorized, or a newly separated veteran.",Entry level,Contract,Defense & Space,Administrative,https://www.linkedin.com/jobs/view/administrative-assistant-at-potomac-management-solutions-llc-2255712139?refId=d796a499-07f3-4d5f-9519-88cabb870286&position=1&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click
44,HR Generalist,NuVasive,"Job Summary And Primary Responsibilities

As a Human Resources Generalist at NuVasive, you will play a hands-on role providing full cycle human resources support to our internal client groups. You will support the NuVasive Clinical Services HR team in this role and be responsible for the support of day-to-day Human Resources operations for NCS shareowners across the United States. This is a fantastic opportunity to build your HR expertise, your knowledge of the organization and demonstrate your ability to meet goals. This position reports to the NCS Sr. Manager, Human Resources.








NuVasive is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, or protected veteran status and will not be discriminated against on the basis of disability. The “EEO is the Law” poster options are available here . NuVasive's EEO policy is available here .



NuVasive, Inc. (NASDAQ: NUVA) is the leader in spine technology innovation, focused on transforming spine surgery and beyond with minimally disruptive, procedurally integrated solutions designed to deliver reproducible and clinically-proven surgical outcomes. The Company's portfolio includes access instruments, implantable hardware, biologics, software systems for surgical planning, navigation and imaging solutions, magnetically adjustable implant systems for spine and orthopedics, and intraoperative monitoring service offerings. With more than $1 billion in revenues, NuVasive has approximately 2,600 employees and operates in more than 50 countries serving surgeons, hospitals and patients. For more information, please visit www.nuvasive.com .",Associate,Full-time,Medical Devices,Human Resources,https://www.linkedin.com/jobs/view/hr-generalist-at-nuvasive-2225834728?refId=d796a499-07f3-4d5f-9519-88cabb870286&position=2&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click
45,Investment Banking Associate,Veritas Partners,"Asset Management Associate                                         
The Asset Management Associate is newly created opportunity due to company growth and will join a cross-functional high-performance team and split their time between underwriting new senior secured cash flow loans and managing an existing portfolio of business lending. This position will be based at the company’s headquarters outside of Washington, DC in the Bethesda, MD area and will offer an attractive compensation plan including a base salary in the $80,000 to $85,000 range, an aggressive bonus between $15,000 and 17,000, as well as excellent benefits and career mobility. This is an excellent opportunity for candidates with two to five years of public accounting whom are interested in a career track towards specialty finance or portfolio management.",Associate,Full-time,Banking,Finance,https://www.linkedin.com/jobs/view/investment-banking-associate-at-veritas-partners-2215541061?refId=d796a499-07f3-4d5f-9519-88cabb870286&position=3&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click
46,Associate Project Manager - NA Public Sector - Remote,Red Hat,"Job Summary

The Red Hat North America Public Sector Consulting team is looking for an extremely organized and detail-­oriented Associate Project Manager to join us. In this role, you will manage low to complexity projects to successful completion, from initiation through delivery and closure. Additionally, you will support client managers (CMs) and senior project managers as needed on high complexity projects. This role requires excellent coordination of cross-functional teams to bring distinct projects to completion both on time and within budget. Successful applicants must reside in a state where Red Hat is registered to do business.









Red Hat is the world’s leading provider of enterprise open source software solutions, using a community-powered approach to deliver reliable and high-performing Linux, hybrid cloud, container, and Kubernetes technologies. Red Hat helps customers integrate new and existing IT applications, develop cloud-native applications, standardize on our industry-leading operating system, and automate, secure, and manage complex environments. Award-winning support, training, and consulting services make Red Hat a trusted adviser to the Fortune 500. As a strategic partner to cloud providers, system integrators, application vendors, customers, and open source communities, Red Hat can help organizations prepare for the digital future.

Red Hat is proud to be an equal opportunity workplace and an affirmative action employer. We review applications for employment without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, ancestry, citizenship, age, veteran status, genetic information, physical or mental disability, medical condition, marital status, or any other basis prohibited by law.

Red Hat does not seek or accept unsolicited resumes or CVs from recruitment agencies. We are not responsible for, and will not pay, any fees, commissions, or any other payment related to unsolicited resumes or CVs except as required in a written contract between Red Hat and the recruitment agency or party requesting payment of a fee.



Apply Apply

Share

Sorry the Share function is not working properly at this moment. Please refresh the page and try again later.

Share on your newsfeed",Not Applicable,Full-time,Computer Software,Project Management,https://www.linkedin.com/jobs/view/associate-project-manager-na-public-sector-remote-at-red-hat-2227369550?refId=d796a499-07f3-4d5f-9519-88cabb870286&position=4&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click
47,Partnerships Project Manager,Planned Parenthood Federation of America,"Planned Parenthood Federation of America (PPFA) is the national umbrella organization for the nation’s leading network of women’s health care providers, educators, and advocates, serving women, men, teens and families. Planned Parenthood Action Fund (PPAF) is the advocacy and political arm of PPFA. For over 100 years, Planned Parenthood has done more than any other organization in the United States to improve women’s health and safety, prevent unintended pregnancies, and advance the right and ability of individuals and families to make informed and responsible health care decisions.

Planned Parenthood Federation of America (PPFA) and Planned Parenthood Action Fund seeks an effective and thoughtful Partnerships Manager. This job reports to the National Director of Strategic Partnerships in the Strategic Partnerships team of PPFA. The Strategic Partnerships team provides strategy support and execution of areas related to key constituency communities, faith leaders and clergy, national progressive partnerships and cross movement issues working across departments within the organization and supporting affiliates across the country.
















Starting Salary: 75k

Final offers for this job will be based on capabilities and will be made within the parameters of the PPFA compensation program. Total offer package to include generous vacation + sick leave + paid holidays, individual/family provided medical, dental and vision benefits effective day 1, life insurance, short/long term disability, paid family leave and 401k. We also offer voluntary opt in for Flexible Spending Account (FSA) and Transportation/Commuter accounts.

We value a truly diverse workforce and a culture of inclusivity and belonging. Our goal is to attract qualified candidates and encourage applications from all individuals without regard to race, color, religion, sex, national origin, age, disability, veteran status, marital status, sexual orientation, gender identity, or any other characteristic protected by applicable law. We're committed to creating a dynamic work environment that values diversity and inclusion, respect and integrity, customer focus, and innovation.",Associate,Full-time,Hospital & Health Care,Project Management,https://www.linkedin.com/jobs/view/partnerships-project-manager-at-planned-parenthood-federation-of-america-2227371673?refId=d796a499-07f3-4d5f-9519-88cabb870286&position=5&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click
